secid,date,days,forward_price,strike_price,premium,impl_volatility,delta,gamma,theta,vega,cp_flag
109820.0,2023-01-03,10.0,381.237881,381.237881,6.175776,0.24559,0.508104,0.025756,-120.143617,25.143701,C
109820.0,2023-01-03,10.0,381.237881,381.237881,5.805164,0.229798,-0.495411,0.027808,-98.697524,25.121911,P
109820.0,2023-01-03,30.0,382.10917,382.10917,9.701881,0.222775,0.512732,0.016389,-66.607316,43.537459,C
109820.0,2023-01-03,30.0,382.10917,382.10917,9.3854,0.213227,-0.494903,0.017553,-49.733154,43.419682,P
109820.0,2023-01-03,60.0,383.497985,383.497985,13.774894,0.223701,0.518081,0.011535,-49.679531,61.538878,C
