secid,date,exdate,amount
109820.0,2023-01-03,2023-03-17,0.0046778004
109820.0,2023-01-03,2023-06-16,0.0046778004
109820.0,2023-01-03,2023-09-15,0.0046778004
109820.0,2023-01-03,2023-12-15,0.0046778004
109820.0,2023-01-03,2024-03-15,0.0046778004
